Name,Link,Documents,Citations,H-index,Coauthor1,CoauthorNo1,Coauthor2,CoauthorNo2,Coauthor3,CoauthorNo3,Coauthor4,CoauthorNo4,Coauthor5,CoauthorNo5,Coauthor6,CoauthorNo6,Coauthor7,CoauthorNo7,Coauthor8,CoauthorNo8,Topic1,Topic2,Topic3,Topic4,Topic5,article,conference paper,book chapter,editorial,review,book,erratum,letter,Publications2021,Publications2020,Publications2019,Publications2018,Publications2017,Publications2016,Publications2015,Publications2014,Publications2013,Publications2012,Publications2011,Publications2010,Publications2009,Publications2008,Publications2007,Publications2006,Publications2005,Publications2004,Publications2003,Publications2002,Publications2001,Publications2000,Publications1999,Publications1998,Publications1997,Publications1996,Publications1995,Publications1994,Publications1993,Publications1992,Publications1991,Publications1990,Publications1989,Publications1988,Publications1987,Publications1986,Publications1985,Publications1984,Publications1983,Publications1982,Publications1981,Publications1980,Publications1979,Publications1978,Publications1977,Publications1976,Publications1975,Publications1974,Publications1973,Publications1972,Publications1971,Publications1970,Citations2021,Citations2020,Citations2019,Citations2018,Citations2017,Citations2016,Citations2015,Citations2014,Citations2013,Citations2012,Citations2011,Citations2010,Citations2009,Citations2008,Citations2007,Citations2006,Citations2005,Citations2004,Citations2003,Citations2002,Citations2001,Citations2000,Citations1999,Citations1998,Citations1997,Citations1996,Citations1995,Citations1994,Citations1993,Citations1992,Citations1991,Citations1990,Citations1989,Citations1988,Citations1987,Citations1986,Citations1985,Citations1984,Citations1983,Citations1982,Citations1981,Citations1980,Citations1979,Citations1978,Citations1977,Citations1976,Citations1975,Citations1974,Citations1973,Citations1972,Citations1971,Citations1970
"ElHelw, Mohamed A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=7801537176,47,544,11,"Chung, Adrian J.",6,"Salaheldin, Ahmed",6,"ElHakim, Reda",5,"Atallah, Louis",4,"Darzi, Ara Warkes",4,"El Gayar, Neamat",4,"Taie, Mostafa Anwar",4,"Alsebai, A.",3,Object Detection; CNN; IOU,Correlation Filter; Visual Tracking; Multiple Object Tracking,Character Recognition; Tesseract; Template Matching,Conditional Random Fields; Parsing; Superpixels,Vehicle Detection; Aerial Image; Unmanned Aerial Vehicles,6,41,0,0,0,0,0,0,0,3,1,2,2,2,2,6,4,7,1,6,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,56,90,62,53,60,45,36,22,24,19,19,17,9,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akl, W.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=6507413652,46,514,13,"Elnady, Tamer",7,"Aldraihem, Osama J.",4,"Farooqui, Maaz",3,"Ruzzene, Massimo",3,"Al-Mitani, K.",2,"Allam, Ahmed",2,"Arafa, Mustafa H.",2,"Nabawy, Mostafa R.A.",2,Metamaterials; Sound Transmission; Acoustics,Piezoelectric Crystals; Metamaterials; Energy Gap,Styrene-Butadiene Rubber; Scorch; Treads,Wrinkle; Inflatable Structures; Solar Sails,Turbine Blades; Flutter; Momentum Theory,33,13,0,0,0,0,0,0,2,2,2,1,1,3,1,1,2,5,4,6,3,4,2,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,62,66,59,34,62,27,41,31,40,23,13,8,2,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wagdy Mohamed, Ali",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=55130632100,45,863,14,"Hadi, Anas A.",9,"Alnowibet, Khalid Abdulaziz",5,"Ganesh, T.",5,"Hassan, Said Ali",5,"Sabry, Hegazy Zaher",4,"Abdelaal, Reda M.S.",3,"El-Quliti, Said Ali Hassan",3,"Elfeky, Ehab Zaki",3,Large-Scale Optimization; Cooperative Coevolution; Differential Evolution,Goal Programming; Differential Evolution Algorithm; Ministry of Education,Constrained Optimization Problem; Constraint Handling; Differential Evolution,Mixed Integer Nonlinear Programming; Quadratic Program; Relaxation,Goal Programming; Transportation Problem; Aspiration Level,34,7,4,0,0,0,0,0,10,11,5,3,4,5,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,220,153,97,50,77,25,19,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abdelbaki, Nashwa",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=55932162200,42,95,5,"Amr, Poussy",2,"Aumann, Bernd",2,"ElBanna, Amr",2,"Gaber, Amira",2,"Heggo, Islam A.",2,"Hussein, Sameh",2,"Naseef, Omnia A.",2,"Radwan, Tarek",2,Malware; Obfuscation; Binary Codes,Digital Forensics; Cybercrime; Court of Law,Web Tracking; Cookies; Online Advertising,Job Posting; Résumé; Recommender Systems,Language Recognition; Hand Gesture; American Sign Language,3,37,2,0,0,0,0,0,2,6,1,11,5,0,1,4,5,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,23,19,7,6,2,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ammar, Hossam Hassan",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57189047959,37,123,7,"Sayed, Abdelrahman",5,"Mahmoud, Mohamed Ibrahim",4,"Barakat, Mohamed Hesham",3,"Diab, Mohamed Khaled",3,"Elkholy, Hassan Ashraf",3,"Elsamanty, M.",3,"Ibrahim, Habiba A.",3,"Ibrahim, Zahra Fathy",3,Inverted Pendulum; Mobile Robots; Nonholonomic Constraints,Maximum Power Point Trackers; Powerpoint; Photovoltaic System,Smith Predictor; Internal Model Control; PID Controller,Trajectory Tracking; Altitude Control; Vertical Takeoff and Landing,Visual Servoing; Homography; Mobile Robots,2,35,0,0,0,0,0,0,1,26,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,85,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tolba, Mohamed F.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=56912006300,35,313,10,"Said, Lobna A.",17,"Sayed, Wafaa S.",9,"Abd-El-Hafiz, Salwa K.",8,"Elsafty, Abdulaziz H.",6,"Soliman, Ahmed M.",4,"Abu-ElYazeed, Mohamed Fathy",3,"Al-Qutayri, Mahmoud A.",3,"Elwakil, Ahmed S.",3,Fractional Order; Differentiators; Low Pass Filters,Chaotic Attractor; Chua's Circuit; Scroll,Image Encryption; Chaotic Map; Hyperchaotic System,Memristors; RRAM; Chaotic Circuit,Fractional-Order System; PID Controller; Robust Stabilization,15,18,1,0,1,0,0,0,2,8,12,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,103,80,68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abd Elkodous, M.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57201641040,32,410,13,"Pal, Kaushik",11,"Gobara, Mohamed",10,"Abdel Maksoud, M. I.A.",6,"Elsayed, M. A.",5,"Mosallam, Farag M.",5,"Jeevanandam, Jaison",4,"Abdelrahman, Ibrahim Y.",3,"Ashour, Ahmed H.",3,Silver Nanoparticles; Acid Gold Tetrachloride; Biofabrication,Ferrites; Spinell; Dromaiidae,Thin Film Solar Cells; Organic Photovoltaics; Plasmonics,Carbon Dioxide Capture; Tetraethylenepentamine; Adsorbents,Gag Protein; Virus Capsid; Human Immunodeficiency Virus Type 1 P17 Protein,24,0,1,1,6,0,0,0,4,19,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,204,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El-Batawy, Yasser M.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=6603406617,30,195,9,"Medhat, Marina",4,"Abdelmageed, Alaa K.",3,"Abouelsaood, Ahmed A.",3,"Soliman, Ezzeldin A.",3,"El-Naggar, Sahar A.",2,"Mahran, Sara E.",2,"Mohammedy, Farseem Mannan",2,"Wafa, Mohamed I.",2,Thin Film Solar Cells; Organic Photovoltaics; Plasmonics,Quantum Well Infrared Photodetectors; Photodetectors; Dark Currents,Avalanche Photodiodes; Ingaas; Inp,Cavity Resonators; Photodetectors; Vertical-Cavity Surface-Emitting Laser (VCSEL),Perovskite Solar Cells; Lead Bromide; Formamidine,15,13,1,0,1,0,0,0,1,4,2,3,2,3,2,2,2,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,10,17,9,17,23,16,15,5,13,7,4,3,3,5,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahim, Irene Samy",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=56572668600,30,31,3,"Everitt, Nicola M.",5,"Faisal, Marwa",5,"Chbib, Hani",3,"D'Angelo, Giacomo",3,"Emad, Ahmed",3,"Kassem, Sally S.",3,"Singh, Ghanshyam",3,"Tiwari, Manish",3,Edible Films; Active Food Packaging; Elongation at Break,Microplastics; Marine Debris; Litter,Chitin; Shrimp Shells; Di-O-Butyrylchitin,Musculoskeletal Diseases; Work Posture; Ergonomics,Ergonomics; Workstation Design; Occupational Safety,12,18,0,0,0,0,0,0,5,17,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abdel-Mottaleb, Mohamed M.S.A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=7003452761,28,1247,19,"Gesquière, André",7,"Lazzaroni, R.",6,"Müllen, Klaus",6,"Sieffert, Michel",6,"Amabilino, David B.",5,"Abdel-Mottaleb, Mohamed Sabry A.",4,"Feringa, B. L.",4,"Gomar-Nadal, Elba",4,Magnetite Nanoparticles; Dromaiidae; Coercivity,Silver Nanoparticles; Acid Gold Tetrachloride; Biofabrication,Zinc Oxide Nanoparticle; Wurtzite; Zinc Nitrate,No topic,No topic,28,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1,0,0,0,0,1,0,3,2,3,5,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,44,61,52,61,76,51,52,53,51,72,82,81,76,82,92,94,51,49,22,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darweesh, M. Saeed",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57209697448,28,65,4,"Adel, Mohamed",4,"El-Ghoneimy, Mona M.Riad",4,"Kamal, Hanan Ahmed",4,"Elaskary, Ramez Moh",3,"Adel, Mohamed H.",2,"El Munim, Hossam E.Abd",2,"Elsayed, Khaled M.F.",2,"Gabran, Salam R.I.",2,Handover; Local Thermodynamic Equilibrium; Self-Optimization,Electrocardiograph; Compressed Sensing; Data Compression,Visible Light Communication; Optical Wireless; Orthogonal Frequency Division Multiplexing (OFDM),Lane Detection; Vanishing Point; Driver Assistance,Elasticity Imaging Techniques; S Wave; Breasts,4,24,0,0,0,0,0,0,0,9,8,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,17,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guindi, Rafik S.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=8278635600,28,167,7,"AbdElSalam, Mohamed",2,"Abdel-Moneum, Mohamed",2,"Abdelmejeed, Mamdouh",2,"Abdo, Islam",2,"Ben Messaoud, Khaled",2,"Brammertz, Guy",2,"Buffière, Marie",2,"Depauw, Valérie",2,Cu2Znsns4; Kesterite; Copper Zinc Tin Sulfide,Systemc; Assertion; RTL,Texturization; Solar Cells; Silicon Wafers,Overlay; Metrology; EUV Lithography,Jitter; Power Supplies; Dynamic Random Access Storage,5,23,0,0,0,0,0,0,0,0,0,0,0,4,4,1,5,2,0,2,0,0,1,2,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,18,18,21,14,8,7,4,6,4,6,3,3,5,6,5,14,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
